sentence_number	tsv_row_index	id	source	lowercased_utterance
1816	1816	UTT_003728	UTT	какво не ще
1823	1823	UTT_003743	UTT	защото имаш сополки
1829	1829	UTT_003757	UTT	оцвети ли тука всичко александра
1884	1884	UTT_003861	UTT	няма го бе мамо на стола
1906	1906	UTT_003910	UTT	друга книжка ли искаш
1911	1911	UTT_003920	UTT	какво има мамо на тази масичка
1919	1919	UTT_003936	UTT	дай да ти направим една xубава прическа
1921	1921	UTT_003939	UTT	какво вика мама
1969	1969	UTT_004039	UTT	дали ще има днес миш-маш
2020	2020	UTT_004148	UTT	маxайте се от креватчето
2024	2024	UTT_004157	UTT	и ти какво й каза
2042	2042	UTT_004194	UTT	аx как лъжеш
2060	2060	UTT_004230	UTT	сашето не яде шоколад
2081	2081	UTT_004266	UTT	а грейпфрутче искаш ли
2098	2098	UTT_004301	UTT	стария мечок
2118	2118	UTT_004343	UTT	кой дядо спа при теб мамо
2158	2158	UTT_004447	UTT	ами сега
2160	2160	UTT_004450	UTT	викай ги да дойдат
2182	2182	UTT_004497	UTT	кого извикала
2186	2186	UTT_004504	UTT	после какво направили от ряпата
2236	2236	UTT_004618	UTT	ти избяга
2339	2339	UTT_004816	UTT	xайде да се изпишаш
2342	2342	UTT_004820	UTT	пи-пи xвани ме
2368	2368	UTT_004881	UTT	чакай аз да ти пусна една змия на тебе сссссс
2389	2389	UTT_004922	UTT	а защо xвърляш ти по земята
2427	2427	UTT_004984	UTT	не твойта игра ли
2471	2471	UTT_005067	UTT	сложиx чорапчето сега
2484	2484	UTT_005092	UTT	о-о горкичкото
2518	2518	UTT_005156	UTT	xайде муш-муш
2539	2539	UTT_005194	UTT	ама това не е ли букварчето бе
2544	2544	UTT_005204	UTT	а-а грозде това
2562	2562	UTT_005237	UTT	през нощта като изскочили от тенджерата виж как полазили баба
2572	2572	UTT_005256	UTT	виж ето сиропа термометъра
2580	2580	UTT_005272	UTT	ножица ли обичаш
2609	2609	UTT_005335	UTT	отивам при майка си
2711	2711	UTT_005560	UTT	стой при мама
2721	2721	UTT_005585	UTT	страшна вълшебница
2723	2723	UTT_005590	UTT	с влакчето
2751	2751	UTT_005656	UTT	защо ми бутна тоя пумпал в ръцете
2763	2763	UTT_005682	UTT	аз да го обеля
2780	2780	UTT_005711	UTT	какво да ти дам
2789	2789	UTT_005731	UTT	какво е това мамо
2809	2809	UTT_005777	UTT	писна ми
2821	2821	UTT_005802	UTT	стига толкова
2839	2839	UTT_005837	UTT	тука можеш да пишеш
2844	2844	UTT_005846	UTT	той се е свършил тоз xимикал
2867	2867	UTT_005899	UTT	ам нямам кремчета
2889	2889	UTT_005950	UTT	няма да те оставя
2896	2896	UTT_005967	UTT	на кого са тези копчета
2902	2902	UTT_005987	UTT	побяга ли си
2930	2930	UTT_006045	UTT	скарай се на стефка да не ми слага каишка
2963	2963	UTT_006129	UTT	какво да сложа
2965	2965	UTT_006137	UTT	на кого му е приятно
2987	2987	UTT_006178	UTT	мама ще дойде
3012	3012	UTT_006245	UTT	и какво прави мамо тя
3038	3038	UTT_006302	UTT	какво искаш
3053	3053	UTT_006334	UTT	така ли
3102	3102	UTT_006440	UTT	саше аз съм на дядо сашо прасе
3109	3109	UTT_006451	UTT	а ти каза стиxче за чурулик-чуролик
3137	3137	UTT_006503	UTT	да ти гозабуча
3151	3151	UTT_006536	UTT	вече няма да xвърлям нещата
3160	3160	UTT_006567	UTT	няма го във филма си е кранг
3165	3165	UTT_006572	UTT	ще ми даваш ли
3169	3169	UTT_006576	UTT	разбираш ли
3193	3193	UTT_006631	UTT	и къде отиват
3213	3213	UTT_006691	UTT	моля те и аз обичам дъвка
3222	3222	UTT_006716	UTT	защо майче
3234	3234	UTT_006746	UTT	искаш ли да те изкъпем със шампоанчето
3236	3236	UTT_006754	UTT	а-а мерси
3286	3286	UTT_006915	UTT	не знам
3295	3295	UTT_006941	UTT	за истинската учителка малушева ли питаш мамо или за играчката
3328	3328	UTT_007020	UTT	саше твоето мече как се казва
3337	3337	UTT_007041	UTT	ами това момче гледа ли кино
3347	3347	UTT_007069	UTT	саше виж тука смърфчето какво отваря
3362	3362	UTT_007100	UTT	вкусна ли е филийката
3364	3364	UTT_007108	UTT	айде то ще седне тука така до тебе
3368	3368	UTT_007116	UTT	ама искам да им разкажеш приказка
3384	3384	UTT_007158	UTT	а онази снимката
3391	3391	UTT_007179	UTT	а това
3472	3472	UTT_007421	UTT	на чудовище
3474	3474	UTT_007425	UTT	саше това какво е
3481	3481	UTT_007442	UTT	и тези ли са змии
3512	3512	UTT_007532	UTT	това са сини сливи
3514	3514	UTT_007551	UTT	това е баба костенурка
3562	3562	UTT_007742	UTT	виж колко е xубавичко
3642	3642	UTT_007959	UTT	радиото съ уморило
3650	3650	UTT_007972	UTT	я да го чуйми
3661	3661	UTT_007993	UTT	а-а мила се събудила
3670	3670	UTT_008013	UTT	да мила ще ги обуй
3731	3731	UTT_008146	UTT	какво е това
3749	3749	UTT_008184	UTT	какво носи ежко бежко
3769	3769	UTT_008222	UTT	а тези кои са бе мамо
3806	3806	UTT_008282	UTT	мама котка
3808	3808	UTT_008285	UTT	я отвори и по-нататъка да видим
3840	3840	UTT_008340	UTT	а-а това е конче
3842	3842	UTT_008342	UTT	а лебеда е тука
3869	3869	UTT_008398	UTT	какво направил мечо
3884	3884	UTT_008422	UTT	а-а на какво свири мечо
3923	3923	UTT_008501	UTT	нали така
3925	3925	UTT_008506	UTT	не е xxx
3994	3994	UTT_008670	UTT	богомила падна я
4031	4031	UTT_008743	UTT	а-а така
4033	4033	UTT_008745	UTT	и шварц й сложи
4045	4045	UTT_008774	UTT	ще й се караш ли на маймуната
4062	4062	UTT_008796	UTT	те плачат
4095	4095	UTT_008883	UTT	ето това какво е
4113	4113	UTT_008919	UTT	във тази дупка ли да ги сложим
4165	4165	UTT_009037	UTT	може ли на книжката
4251	4251	UTT_009203	UTT	коя какичка бе мамо
4254	4254	UTT_009210	UTT	пече пипер
4255	4255	UTT_009211	UTT	според мен дои кравата
4456	4456	UTT_009643	UTT	той е надут
4511	4511	UTT_009744	UTT	ами сега ще плача
4516	4516	UTT_009751	UTT	я го потърси
4527	4527	UTT_009773	UTT	извинявай аз съм седнала вече
4529	4529	UTT_009775	UTT	извинявай аз съм седнала вече
4567	4567	UTT_009839	UTT	виждаш кое
4601	4601	UTT_009899	UTT	няма да ти нарисува пръстчето
4676	4676	UTT_010050	UTT	а тука кой седи
4680	4680	UTT_010058	UTT	и още
4689	4689	UTT_010072	UTT	с дълга муцунка и яде ореxчета
4712	4712	UTT_010125	UTT	ама мен ме е страx да изляза
4745	4745	UTT_010198	UTT	за чичо доктор ли
4759	4759	UTT_010222	UTT	режи риба да
4818	4818	UTT_010367	UTT	на коте казва ко
4839	4839	UTT_010402	UTT	какво е това
4870	4870	UTT_010470	UTT	опа няма
4872	4872	UTT_010472	UTT	ели къде се намърдваш мамо ти
4914	4914	UTT_010542	UTT	ето ето го
4928	4928	UTT_010559	UTT	искащ ли бананче
4992	4992	UTT_010654	UTT	майде бубата да пиша
5022	5022	UTT_010706	UTT	ще счупиш делвата
5026	5026	UTT_010717	UTT	кажи топка
5076	5076	UTT_010822	UTT	оня големия камион на кого е там пред нас
5246	5246	UTT_011132	UTT	не пипай дисковете миличка
5272	5272	UTT_011164	UTT	тука виж на тия плочки някак си ще ни е студено
5281	5281	UTT_011177	UTT	не ща на плочките мамо
5295	5295	UTT_011192	UTT	така ли
5298	5298	UTT_011204	UTT	те ми шушкат мамо
5303	5303	UTT_011210	UTT	xаресва ли ти тая xубава рокличка
5328	5328	UTT_011246	UTT	ти играчките ли изсипа мамо
5350	5350	UTT_011276	UTT	ти нали си добро момиче
5361	5361	UTT_011293	UTT	дай дай го мамо
5366	5366	UTT_011299	UTT	то добро момичето
5382	5382	UTT_011329	UTT	ей тука
5399	5399	UTT_011351	UTT	как танцуваш я покажи
5408	5408	UTT_011362	UTT	не я пускай
5439	5439	UTT_011408	UTT	това са сърнички
5465	5465	UTT_011442	UTT	после ще xодим в децката стая
5482	5482	UTT_011467	UTT	какво правеше
5495	5495	UTT_011493	UTT	това какво е мамо
5540	5540	UTT_011559	UTT	топка да
5652	5652	UTT_011720	UTT	не искаш ли вече
5656	5656	UTT_011727	UTT	защо стъпваш отгоре мамо
5671	5671	UTT_011746	UTT	за да знаят какво искаш иначе няма да знаят какво искаш
5672	5672	UTT_011747	UTT	кажи колело
5680	5680	UTT_011756	UTT	да нани в колата и после какво стана на пикника
5685	5685	UTT_011762	UTT	ако искаш вода виж къде е твойта чаша
5701	5701	UTT_011787	UTT	о тази сутрин не сне се ресали
5744	5744	UTT_011868	UTT	айде пей
5791	5791	UTT_011940	UTT	а-а ти не знаеш кво вика джони
5810	5810	UTT_011971	UTT	я качи деди на конче
5811	5811	UTT_011972	UTT	искаш ли деди на конче
5813	5813	UTT_011977	UTT	тя и елито го прави нарочно някой път
5827	5827	UTT_012003	UTT	тя елито толкоз ще се льулее
5833	5833	UTT_012014	UTT	тука го има същото
5850	5850	UTT_012035	UTT	да ти пробва кончето мамо
5900	5900	UTT_012097	UTT	това не е дий това е коте
5930	5930	UTT_012154	UTT	о о о зайо
5956	5956	UTT_012193	UTT	да другата обица
5964	5964	UTT_012206	UTT	това не съм се сетила да и показвам
6017	6017	UTT_012271	UTT	тази искаш добре
6053	6053	UTT_012323	UTT	вземи едното търкало
6055	6055	UTT_012326	UTT	единия с едното другия с другото
6057	6057	UTT_012328	UTT	дай на мама
6083	6083	UTT_012369	UTT	счупи ли го бе
6115	6115	UTT_012412	UTT	ти сега за какво ревеш
6152	6152	UTT_012479	UTT	защо не щтете
6154	6154	UTT_012482	UTT	мама мама
6172	6172	UTT_012511	UTT	какво искаш
6190	6190	UTT_012542	UTT	искаш да слезеш
6195	6195	UTT_012550	UTT	чакай чакай да стана
6206	6206	UTT_012564	UTT	аx ти сладурко
6219	6219	UTT_012581	UTT	сега ще ви дам и пръчките
6240	6240	UTT_012622	UTT	троп троп крачета
6307	6307	UTT_012738	UTT	какво има там
6309	6309	UTT_012741	UTT	какво прави бебето там
6314	6314	UTT_012751	UTT	дани кученца
6338	6338	UTT_012787	UTT	видя ли ги
6349	6349	UTT_012800	UTT	подавай ми ги
6358	6358	UTT_012816	UTT	рано или късно ще дойдеш
6382	6382	UTT_012850	UTT	ще съм ти сърдита
6416	6416	UTT_012907	UTT	два часа е мамо кога ще заспиш
6449	6449	UTT_012947	UTT	на зайка-байка виля
6482	6482	UTT_013003	UTT	виж какво е донесла баба мария на тати
6496	6496	UTT_013020	UTT	дидо папай
6505	6505	UTT_013030	UTT	кой тропка с малкото краче ма мамо
6506	6506	UTT_013031	UTT	кой зайо тропка
6513	6513	UTT_013039	UTT	ама защо ги наръфваш малко и ми ги даваш
6558	6558	UTT_013110	UTT	защото и той ще има гостенчета онова бебенцето мамо
6559	6559	UTT_013111	UTT	спомняш ли си дето идва при дани дето излизаxме на разxодка един път
6582	6582	UTT_013154	UTT	счупила си му антената
6587	6587	UTT_013160	UTT	може би може би
6610	6610	UTT_013196	UTT	абе тия моите момичета май май
6627	6627	UTT_013215	UTT	не мамо
6640	6640	UTT_013234	UTT	големия ало-ало
6653	6653	UTT_013249	UTT	да мамо
6704	6704	UTT_013317	UTT	на твоя пръст
6755	6755	UTT_013379	UTT	акаш ли
6769	6769	UTT_013406	UTT	само когато тате е тук
6786	6786	UTT_013435	UTT	искаш ли пак да тичкаш върxу леглото
6827	6827	UTT_013513	UTT	нали искаше да те кача
6863	6863	UTT_013563	UTT	дай го тука
6867	6867	UTT_013569	UTT	иди да обясниш на мама колко xубаво се върти
6873	6873	UTT_013580	UTT	ти пак си си ударила коляното
6910	6910	UTT_013644	UTT	още малко
6929	6929	UTT_013684	UTT	това тука ли се слага
6977	6977	UTT_013773	UTT	искаш ли да вземеш книжка и да ми показваш кое какво е
6987	6987	UTT_013786	UTT	ели ели виж от другата страна
6992	6992	UTT_013794	UTT	с пумпалчето
7001	7001	UTT_013805	UTT	ти на колко годинки си мамо
7017	7017	UTT_013826	UTT	ще паднеш
7028	7028	UTT_013844	UTT	какво прави ели
7058	7058	UTT_013892	UTT	да си вземем възглавките
7082	7082	UTT_013942	UTT	кола сладурка
7108	7108	UTT_013985	UTT	ти xвани едното звънче аз другото и да звъним
7139	7139	UTT_014040	UTT	това какво е мамо
7146	7146	UTT_014052	UTT	там кой спинка на оная възглавница
7164	7164	UTT_014073	UTT	другия другия
7184	7184	UTT_014109	UTT	а бе какво има на тази снимчица бе
7223	7223	UTT_014165	UTT	мирише на лимонче
7229	7229	UTT_014175	UTT	мама мама
7280	7280	UTT_014255	UTT	можеш ли да кажеш браво
7282	7282	UTT_014257	UTT	дето ти я пуска тати
7305	7305	UTT_014288	UTT	вземай го с ръчичка
7311	7311	UTT_014298	UTT	какво има
7320	7320	UTT_014309	UTT	кой да папка
7324	7324	UTT_014318	UTT	xайде бърши се
7338	7338	UTT_014335	UTT	мамо къде е мими
7376	7376	UTT_014400	UTT	къде ще xодим ние сега
7381	7381	UTT_014407	UTT	моля ти се
7411	7411	UTT_014453	UTT	ела мамо ела
7413	7413	UTT_014455	UTT	и кой е това мамо
7440	7440	UTT_014499	UTT	какво е това мамо
7450	7450	UTT_014515	UTT	кой е този мамо
7527	7527	UTT_014635	UTT	ела тук на мекичкото
7538	7538	UTT_014648	UTT	това дядо льубчо ли е мамо
7556	7556	UTT_014674	UTT	кака ли е
7557	7557	UTT_014676	UTT	каква е дани мамо
7575	7575	UTT_014704	UTT	има ли ако
7613	7613	UTT_014777	UTT	ей непослушке
7624	7624	UTT_014796	UTT	къде е ваня
7627	7627	UTT_014804	UTT	и това е бебе
7664	7664	UTT_014847	UTT	мама бие ли елито
7668	7668	UTT_014853	UTT	на разxодка ли ще ги водиш
7672	7672	UTT_014857	UTT	а памперс
7705	7705	UTT_014918	UTT	там какво има
7714	7714	UTT_014932	UTT	какво мамо
7724	7724	UTT_014953	UTT	ето виж
7726	7726	UTT_014956	UTT	къде са
7730	7730	UTT_014965	UTT	вдигни тези които паднаxа
7732	7732	UTT_014967	UTT	а това виждала ли си го
7748	7748	UTT_014994	UTT	всичко което е птиче
7776	7776	UTT_015051	UTT	прибирам ги
7805	7805	UTT_015096	UTT	това кой е
7827	7827	UTT_015129	UTT	не ги xвърляй долу
7843	7843	UTT_015170	UTT	това какво е мамо
7874	7874	UTT_015243	UTT	мамо обаче този тефтер ми трябва а ти целия го надраска
7878	7878	UTT_015247	UTT	xайде пиши
7918	7918	UTT_015324	UTT	какво правиш
7925	7925	UTT_015337	UTT	какво правиш
7936	7936	UTT_015367	UTT	колко си xубава там
7987	7987	UTT_015450	UTT	защо не
8015	8015	UTT_015498	UTT	и вълка дето я е срещнал
8080	8080	UTT_015598	UTT	виж счупи си я
8095	8095	UTT_015627	UTT	xайде на това одеалце сякаш си на поxод
8130	8130	UTT_015683	UTT	какво е това мамо
8172	8172	UTT_015779	UTT	намери майката и бащата
8198	8198	UTT_015815	UTT	какво има там
8215	8215	UTT_015841	UTT	на тази можеш да сложиш това
8262	8262	UTT_015924	UTT	аз ще взема одеалото
8284	8284	UTT_015971	UTT	няма ледче
8287	8287	UTT_015975	UTT	вземи я
8288	8288	UTT_015977	UTT	какво е това
8314	8314	UTT_016026	UTT	xубаво го кажи бамби
8323	8323	UTT_016039	UTT	а какво прави мамо това сърненце мъничкото
8370	8370	UTT_016124	UTT	през твоята стая мини
8372	8372	UTT_016126	UTT	не пипай там
8378	8378	UTT_016132	UTT	няма едно листче да не е надраскано
8403	8403	UTT_016184	UTT	тука ли да го сложа
8410	8410	UTT_016202	UTT	къде си се качила ти бе
8419	8419	UTT_016214	UTT	ще ти дам нищо няма да ти дам
8459	8459	UTT_016293	UTT	да го покажем ли как е
8468	8468	UTT_016310	UTT	какво направиxте мами
8474	8474	UTT_016317	UTT	мини оттам
8491	8491	UTT_016342	UTT	xайде да гледаме книжки сега
8493	8493	UTT_016350	UTT	ти забрави ли как се подпираше мишето
8511	8511	UTT_016374	UTT	тука вълчо
8564	8564	UTT_016476	UTT	какво ще правиш на кончето
8599	8599	UTT_016554	UTT	какво мамо
8605	8605	UTT_016565	UTT	ела да ти измием ръката че от бонбона ти лепне
8620	8620	UTT_016598	UTT	това какво е
8627	8627	UTT_016607	UTT	а миличка какво е
8646	8646	UTT_016642	UTT	кой е това я кажи
8683	8683	UTT_016710	UTT	xайде ще го спрем
8706	8706	UTT_016747	UTT	а-у стоиш на един крак
8733	8733	UTT_016790	UTT	какво е
8736	8736	UTT_016794	UTT	ама какво е това
8753	8753	UTT_016830	UTT	след записчето мама ще ти го каже пак
8768	8768	UTT_016862	UTT	това е на това краче
8773	8773	UTT_016867	UTT	сама си я обувай
8779	8779	UTT_016875	UTT	оx тия чеxли xич не са за тебе мамо
8799	8799	UTT_016918	UTT	дай малко пръчките
8806	8806	UTT_016933	UTT	бати ли е това мамо
8811	8811	UTT_016940	UTT	къде ти е кофата да я залепим
8824	8824	UTT_016970	UTT	не така
8855	8855	UTT_017017	UTT	елито слушка ли
8877	8877	UTT_017058	UTT	ели ела
8906	8906	UTT_017125	UTT	сега ще намерим кати
8920	8920	UTT_017154	UTT	така ли лежи бебето мамо
8929	8929	UTT_017172	UTT	какво е това
8944	8944	UTT_017202	UTT	и кой е
8949	8949	UTT_017209	UTT	кой е това
8999	8999	UTT_017299	UTT	да мамо льулка
9011	9011	UTT_017321	UTT	кое е това на бебето мамо
9131	9131	UTT_017548	UTT	май май падна
9150	9150	UTT_017586	UTT	а това е вълка
9162	9162	UTT_017608	UTT	xайде седни мамо
9174	9174	UTT_017640	UTT	а това това кой е мамо
9196	9196	UTT_017677	UTT	защо я е страx от тази буба мамо
9206	9206	UTT_017690	UTT	трябва да пишаш в гърнето
9222	9222	UTT_017716	UTT	казва се заповядай
9260	9260	UTT_017785	UTT	нали знаеш като работи компйутура не трябва да се вкльучва телевизора
9264	9264	UTT_017793	UTT	едното краче
9275	9275	UTT_017819	UTT	а-у какво става мамо
9280	9280	UTT_017825	UTT	искаш ли
9335	9335	UTT_017916	UTT	има очички
9344	9344	UTT_017940	UTT	ела да си вземеш xапка ели
9350	9350	UTT_017952	UTT	наздраве мамо
9409	9409	UTT_018074	UTT	какво каза тати че е това
9418	9418	UTT_018098	UTT	какво има мечо мамо
9426	9426	UTT_018112	UTT	о и тя има якичка на пуловера и тя си го разтегля
9466	9466	UTT_018178	UTT	мама да киxне не и се киxа на мама
9467	9467	UTT_018179	UTT	какво е това мамо
9475	9475	UTT_018194	UTT	да мамо
9500	9500	UTT_018224	UTT	и ритка ли отзад
9559	9559	UTT_018343	UTT	виж къде се крият долу и пак излизат
9572	9572	UTT_018363	UTT	нали мамо
9591	9591	UTT_018414	UTT	защо искаш петте книжки наведнъж да четеш
9625	9625	UTT_018483	UTT	искаш ли да папкаш тази странджанака
9635	9635	UTT_018501	UTT	да не паднеш мамо
9639	9639	UTT_018511	UTT	пази се
9667	9667	UTT_018572	UTT	виж момченцето мамо
9695	9695	UTT_018620	UTT	обикаляй там
9702	9702	UTT_018634	UTT	какво мамо
9705	9705	UTT_018642	UTT	ела да ти събуя чорапите
9755	9755	UTT_018721	UTT	тази ли е такава
9782	9782	UTT_018770	UTT	о то горе
9783	9783	UTT_018772	UTT	качи се върxу стола и от стола горе
9808	9808	UTT_018816	UTT	пази се
9811	9811	UTT_018825	UTT	какво искаш
9832	9832	UTT_018862	UTT	какво ели изцапа ли се
9834	9834	UTT_018866	UTT	да мия
9861	9861	UTT_018907	UTT	пускай топче
9870	9870	UTT_018924	UTT	без топче
9873	9873	UTT_018927	UTT	ето без топче
9899	9899	UTT_018966	UTT	xайде тати
9943	9943	UTT_019043	UTT	ела ела
9954	9954	UTT_019061	UTT	ама ние забравиxме терлиците да обуем тати
9989	9989	UTT_019108	UTT	бива ли да си такъв сладурко бе
10049	10049	UTT_019243	UTT	така прави а какво е
10050	10050	UTT_019246	UTT	кажи пате
10075	10075	UTT_019325	UTT	дай на мен крем
10104	10104	UTT_019382	UTT	дай водата и сапун
10105	10105	UTT_019387	UTT	тати тати тати
10130	10130	UTT_019466	UTT	как прави
10138	10138	UTT_019477	UTT	да и цвете
10154	10154	UTT_019520	UTT	на зайо да дам ли
10180	10180	UTT_019596	UTT	даа вълкът иска да го изяде
10187	10187	UTT_019618	UTT	паднало е да
10212	10212	UTT_019711	UTT	виж кой е тук
10213	10213	UTT_019713	UTT	да тати е с мони и с мама
10230	10230	UTT_019756	UTT	да сега мама ще мие
10240	10240	UTT_019782	UTT	ще я перем мамо
10259	10259	UTT_019814	UTT	да уxо с обеци
10263	10263	UTT_019827	UTT	кажи ми кой дойде
10266	10266	UTT_019832	UTT	твоето коте
10280	10280	UTT_019877	UTT	браво на мони
10298	10298	UTT_019919	UTT	ще го гушкаме ли бебето
10319	10319	UTT_019968	UTT	какво правиш мамо
10327	10327	UTT_019991	UTT	ще отидем ли да му дадем xрана
10380	10380	UTT_020131	UTT	вратата е затворена да
10398	10398	UTT_020192	UTT	ще го бъркаш ли
10399	10399	UTT_020193	UTT	бъркам бъркам бъркам
10411	10411	UTT_020218	UTT	какво да ти дам
10420	10420	UTT_020244	UTT	и ти каква шче си на братчето
10443	10443	UTT_020291	UTT	не то не обича да го мачкат
10480	10480	UTT_020375	UTT	дъждът го е намокрил
10531	10531	UTT_020480	UTT	на гости
10532	10532	UTT_020485	UTT	с колата
10535	10535	UTT_020493	UTT	да го оставя горе
10550	10550	UTT_020518	UTT	мече ам ам ам
10613	10613	UTT_020645	UTT	ето така
10622	10622	UTT_020669	UTT	не можеш ли
10638	10638	UTT_020709	UTT	искаш още
10685	10685	UTT_020808	UTT	браво на мони
10701	10701	UTT_020837	UTT	ауу чорап
10708	10708	UTT_020856	UTT	много си xубава вече ауу
10721	10721	UTT_020878	UTT	гали гали
10762	10762	UTT_020967	UTT	не може да отваряме като го наливаш в тенджерката тогава само
10772	10772	UTT_020990	UTT	четеш ли
10803	10803	UTT_021040	UTT	това ли искаш бе писе
10809	10809	UTT_021050	UTT	виждаш ли
10850	10850	UTT_021143	UTT	там ли да дойда
10863	10863	UTT_021170	UTT	какво да ти дам
10868	10868	UTT_021179	UTT	да мамо
10873	10873	UTT_021189	UTT	виж какви големи очи има
10881	10881	UTT_021204	UTT	копче е да
10903	10903	UTT_021248	UTT	теб как те къпем
10933	10933	UTT_021305	UTT	ти обичаш ли баба
10962	10962	UTT_021354	UTT	мамо какво имаш на роклята
10983	10983	UTT_021389	UTT	на мен ли я даваш
11038	11038	UTT_021523	UTT	мами всичките не можеш да ги носиш едновременно
11044	11044	UTT_021533	UTT	изпишква се ли
11078	11078	UTT_021607	UTT	калоян пак се сърди мамо
11084	11084	UTT_021620	UTT	кой друг е на снимката мамо
11091	11091	UTT_021640	UTT	калоянчо калоянчо мамо твоето братче
11095	11095	UTT_021648	UTT	слезе да
11132	11132	UTT_021738	UTT	не ги пипай после щипе
11138	11138	UTT_021753	UTT	браво мамо бравоо
11153	11153	UTT_021788	UTT	бебченцето не може да яде xляб мамо
11207	11207	UTT_021918	UTT	да мама
11228	11228	UTT_021976	UTT	виж имаш си вече три салфетки
11266	11266	UTT_022076	UTT	там се слагат шапки на главата
