utterance_id,Name,Age,Participant,Utterance,TokenisedUtt,TokenisedUttLower,TokenisedUttNoPunct,UttLen,UtterancesCyrillic,TokenisedUttCyr,UtterancesCyrillicCleaned,UtterancesCyrillicCleanedNormalised,Manually_corrected,utt_cyr_norm_lowercase_nopunct
UTT_002397,ALE,1;07.20,ALE,da budi momicheto .,"['da', 'budi', 'momicheto', '.']","['da', 'budi', 'momicheto', '.']","['da', 'budi', 'momicheto']",3,Да буди момичето .,"['да', 'буди', 'момичето']",Да буди момичето .,Да буди момичето .,,да буди момичето
UTT_009487,BOG,2;03.01,BOG,pesushaj [: preslushaj] ja !,"['preslushaj', 'ja', '!']","['preslushaj', 'ja', '!']","['preslushaj', 'ja']",2,Песушай [: преслушай] я !,"['песушай', 'преслушай', 'я']",Песушай я !,преслушай я !,,преслушай я
UTT_005904,ALE,2;02.24,ALE,"ne, ne .","['ne', ',', 'ne', '.']","['ne', ',', 'ne', '.']","['ne', 'ne']",2,"Не, не .","['не', 'не']","Не , не .","Не , не .","Не , не .",не не
UTT_034225,SIM,2;07.07,SIM,baba shte ja vzimame li?,"['baba', 'shte', 'ja', 'vzimame', 'l', '?']","['baba', 'shte', 'ja', 'vzimame', 'l', '?']","['baba', 'shte', 'ja', 'vzimame', 'l']",5,Баба ще я взимаме ли?,"['баба', 'ще', 'я', 'взимаме', 'ли']",Баба ще я взимаме ли ?,Баба ще я взимаме ли ?,,баба ще я взимаме ли
UTT_026975,SIM,1;10.09,SIM,dupeto stanalo kalno .,"['dupeto', 'stanalo', 'kalno', '.']","['dupeto', 'stanalo', 'kalno', '.']","['dupeto', 'stanalo', 'kalno']",3,Дупето станало кално .,"['дупето', 'станало', 'кално']",Дупето станало кално .,Дупето станало кално .,,дупето станало кално
UTT_040688,TEF,,TEF,"muvam [: da risuvam], ikam [: iskam] muvam [: da risuvam] .","['da', 'risuvam', ',', 'iskam', 'da', 'risuvam', '.']","['da', 'risuvam', ',', 'iskam', 'da', 'risuvam', '.']","['da', 'risuvam', 'iskam', 'da', 'risuvam']",5,"Мувам [: да рисувам], икам [: искам] мувам [: да рисувам] .","['мувам', 'да', 'рисувам', 'икам', 'искам', 'мувам', 'да', 'рисувам']","Мувам , икам мувам .",да рисувам да рисувам .,,да рисувам да рисувам
UTT_037147,SIM,3;01.00,SIM,sega shte ti dam Zajo Bajo da mylchish.,"['sega', 'shte', 'ti', 'dam', 'Zajo', 'Bajo', 'da', 'mylchish', '.']","['sega', 'shte', 'ti', 'dam', 'zajo', 'bajo', 'da', 'mylchish', '.']","['sega', 'shte', 'ti', 'dam', 'zajo', 'bajo', 'da', 'mylchish']",8,Сега ще ти дам зайо байо да мълчиш.,"['сега', 'ще', 'ти', 'дам', 'зайо', 'байо', 'да', 'мълчиш']",Сега ще ти дам зайо байо да мълчиш .,Сега ще ти дам зайо байо да мълчиш .,,сега ще ти дам зайо байо да мълчиш
UTT_036504,SIM,2;10.09,SIM,"tova, tova.","['tova', ',', 'tova', '.']","['tova', ',', 'tova', '.']","['tova', 'tova']",2,"Това, това.","['това', 'това']","Това , това .","Това , това .",,това това
UTT_001283,ALE,1;05.08,ALE,mecho Pin [: Rykspin] .,"['mecho', 'Rykspin', '.']","['mecho', 'rykspin', '.']","['mecho', 'rykspin']",2,Мечо пин [: ръкспин] .,"['мечо', 'пин', 'ръкспин']",Мечо пин .,Мечо ръкспин .,,мечо ръкспин
UTT_003895,ALE,1;09.19,ALE,kucheto tova .,"['kucheto', 'tova', '.']","['kucheto', 'tova', '.']","['kucheto', 'tova']",2,Кучето това .,"['кучето', 'това']",Кучето това .,Кучето това .,,кучето това
UTT_024789,SIM,1;09.02,SIM,bija bebcho .,"['bija', 'bebcho', '.']","['bija', 'bebcho', '.']","['bija', 'bebcho']",2,Бия бебчо .,"['бия', 'бебчо']",Бия бебчо .,Бия бебчо .,,бия бебчо
UTT_034362,SIM,2;07.19,SIM,ikam [: iskam] da sedna ot drugata strana.,"['iskam', 'da', 'sedna', 'ot', 'drugata', 'strana', '.']","['iskam', 'da', 'sedna', 'ot', 'drugata', 'strana', '.']","['iskam', 'da', 'sedna', 'ot', 'drugata', 'strana']",6,Икам [: искам] да седна от другата страна.,"['икам', 'искам', 'да', 'седна', 'от', 'другата', 'страна']",Икам да седна от другата страна .,искам да седна от другата страна .,,искам да седна от другата страна
UTT_030166,SIM,2;02.15,SIM,"Kalojancho, Kalojancho, Kalojancho, Kalojancho, Kalojancho, Kalojancho.","['Kalojancho', ',', 'Kalojancho', ',', 'Kalojancho', ',', 'Kalojancho', ',', 'Kalojancho', ',', 'Kalojancho', '.']","['kalojancho', ',', 'kalojancho', ',', 'kalojancho', ',', 'kalojancho', ',', 'kalojancho', ',', 'kalojancho', '.']","['kalojancho', 'kalojancho', 'kalojancho', 'kalojancho', 'kalojancho', 'kalojancho']",6,"Калоянчо, калоянчо, калоянчо, калоянчо, калоянчо, калоянчо.","['калоянчо', 'калоянчо', 'калоянчо', 'калоянчо', 'калоянчо', 'калоянчо']","Калоянчо , калоянчо , калоянчо , калоянчо , калоянчо , калоянчо .","Калоянчо , калоянчо , калоянчо , калоянчо , калоянчо , калоянчо .","Калоянчо , калоянчо , калоянчо , калоянчо , калоянчо , калоянчо .",калоянчо калоянчо калоянчо калоянчо калоянчо калоянчо
UTT_024650,SIM,1;09.02,SIM,shtipka zelena .,"['shtipka', 'zelena', '.']","['shtipka', 'zelena', '.']","['shtipka', 'zelena']",2,Щипка зелена .,"['щипка', 'зелена']",Щипка зелена .,Щипка зелена .,,щипка зелена
UTT_033609,SIM,2;06.19,SIM,koj e goljam prystite.,"['koj', 'e', 'goljam', 'prystite', '.']","['koj', 'e', 'goljam', 'prystite', '.']","['koj', 'e', 'goljam', 'prystite']",4,Кой е голям пръстите.,"['кой', 'е', 'голям', 'пръстите']",Кой е голям пръстите .,Кой е голям пръстите .,,кой е голям пръстите
UTT_040967,TEF,,TEF,jemem [: Da vzemem] jajkite [: mozajkite] !,"['Da', 'vzemem', 'mozajkite', '!']","['da', 'vzemem', 'mozajkite', '!']","['da', 'vzemem', 'mozajkite']",3,Йемем [: да вземем] яйките [: мозайките] !,"['йемем', 'да', 'вземем', 'яйките', 'мозайките']",Йемем яйките !,да вземем мозайките !,,да вземем мозайките
UTT_030709,SIM,2;02.20,SIM,"odarja [: blagodarja], odarja [: blagodarJa].","['blagodarja', ',', 'blagodarJa', '.']","['blagodarja', ',', 'blagodarja', '.']","['blagodarja', 'blagodarja']",2,"Одаря [: благодаря], одаря [: благодаря].","['одаря', 'благодаря', 'одаря', 'благодаря']","Одаря , одаря .",благодаря благодаря,,благодаря благодаря
UTT_041385,TEF,2;01.16,TEF,moja [: molja] sipi ok [: sok] !,"['molja', 'sipi', 'sok', '!']","['molja', 'sipi', 'sok', '!']","['molja', 'sipi', 'sok']",3,Моя [: моля] сипи ок [: сок] !,"['моя', 'моля', 'сипи', 'ок', 'сок']",Моя сипи ок !,моля сипи сок !,,моля сипи сок
UTT_028825,SIM,2;00.09,SIM,"Kaljancho [: Kalojancho], iskash li ?","['Kalojancho', ',', 'iskash', 'li', '?']","['kalojancho', ',', 'iskash', 'li', '?']","['kalojancho', 'iskash', 'li']",3,"Калянчо [: калоянчо], искаш ли ?","['калянчо', 'калоянчо', 'искаш', 'ли']","Калянчо , искаш ли ?",калоянчо искаш ли ?,,калоянчо искаш ли
UTT_019767,SIM,1;04.19,SIM,"mako [: mljako], mako [: mljako] .","['mljako', ',', 'mljako', '.']","['mljako', ',', 'mljako', '.']","['mljako', 'mljako']",2,"Мако [: мляко], мако [: мляко] .","['мако', 'мляко', 'мако', 'мляко']","Мако , мако .",мляко мляко .,,мляко мляко
UTT_041642,TEF,2;01.16,TEF,ne jalo [: dalo] .,"['ne', 'dalo', '.']","['ne', 'dalo', '.']","['ne', 'dalo']",2,Не яло [: дало] .,"['не', 'яло', 'дало']",Не яло .,Не дало .,,не дало
UTT_024150,SIM,1;08.14,SIM,bra [: obra] gi .,"['obra', 'gi', '.']","['obra', 'gi', '.']","['obra', 'gi']",2,Бра [: обра] ги .,"['бра', 'обра', 'ги']",Бра ги .,обра ги .,,обра ги
UTT_024893,SIM,1;09.03,SIM,"eto mi, eto mi .","['eto', 'mi', ',', 'eto', 'mi', '.']","['eto', 'mi', ',', 'eto', 'mi', '.']","['eto', 'mi', 'eto', 'mi']",4,"Ето ми, ето ми .","['ето', 'ми', 'ето', 'ми']","Ето ми , ето ми .","Ето ми , ето ми .",,ето ми ето ми
UTT_021093,SIM,1;05.21,SIM,"baga [: bjaga], baga [: bjaga], baga [: bjaga], baga [: bjaga] .","['bjaga', ',', 'bjaga', ',', 'bjaga', ',', 'bjaga', '.']","['bjaga', ',', 'bjaga', ',', 'bjaga', ',', 'bjaga', '.']","['bjaga', 'bjaga', 'bjaga', 'bjaga']",4,"Бага [: бяга], бага [: бяга], бага [: бяга], бага [: бяга] .","['бага', 'бяга', 'бага', 'бяга', 'бага', 'бяга', 'бага', 'бяга']","Бага , бага , бага , бага .",бяга бяга бяга бяга .,"Бяга , бяга , бяга , бяга .",бяга бяга бяга бяга
UTT_035781,SIM,2;09.20,SIM,"boc, boc, boc.","['boc', ',', 'boc', ',', 'boc', '.']","['boc', ',', 'boc', ',', 'boc', '.']","['boc', 'boc', 'boc']",3,"Боц, боц, боц.","['боц', 'боц', 'боц']","Боц , боц , боц .","Боц , боц , боц .",,боц боц боц
UTT_028811,SIM,2;00.09,SIM,"zajchenceto bjalo, cjal den igralo, slynceto skrilo .","['zajchenceto', 'bjalo', ',', 'cjal', 'den', 'igralo', ',', 'slynceto', 'skrilo', '.']","['zajchenceto', 'bjalo', ',', 'cjal', 'den', 'igralo', ',', 'slynceto', 'skrilo', '.']","['zajchenceto', 'bjalo', 'cjal', 'den', 'igralo', 'slynceto', 'skrilo']",7,"Зайченцето бяло, цял ден играло, слънцето скрило .","['зайченцето', 'бяло', 'цял', 'ден', 'играло', 'слънцето', 'скрило']","Зайченцето бяло , цял ден играло , слънцето скрило .","Зайченцето бяло , цял ден играло , слънцето скрило .",,зайченцето бяло цял ден играло слънцето скрило
UTT_032073,SIM,2;05.22,SIM,Monchito pravi brashno.,"['Monchito', 'pravi', 'brashno', '.']","['monchito', 'pravi', 'brashno', '.']","['monchito', 'pravi', 'brashno']",3,Мончито прави брашно.,"['мончито', 'прави', 'брашно']",Мончито прави брашно .,Мончито прави брашно .,Мончито прави брашно .,мончито прави брашно
UTT_022504,SIM,1;07.18,SIM,"topkata, topkata .","['topkata', ',', 'topkata', '.']","['topkata', ',', 'topkata', '.']","['topkata', 'topkata']",2,"Топката, топката .","['топката', 'топката']","Топката , топката .","Топката , топката .",,топката топката
UTT_020077,SIM,1;04.25,SIM,"ezhi [: rezhi], ezhi [: rezhi], ezhi [: rezhi] .","['rezhi', ',', 'rezhi', ',', 'rezhi', '.']","['rezhi', ',', 'rezhi', ',', 'rezhi', '.']","['rezhi', 'rezhi', 'rezhi']",3,"Ежи [: режи], ежи [: режи], ежи [: режи] .","['ежи', 'режи', 'ежи', 'режи', 'ежи', 'режи']","Ежи , ежи , ежи .",режи режи режи .,,режи режи режи
UTT_036225,SIM,2;10.04,SIM,ne sa xodili [: idvali] v nashata kyshta.,"['ne', 'sa', 'idvali', 'v', 'nashata', 'kyshta', '.']","['ne', 'sa', 'idvali', 'v', 'nashata', 'kyshta', '.']","['ne', 'sa', 'idvali', 'v', 'nashata', 'kyshta']",6,Не са xодили [: идвали] в нашата къща.,"['не', 'са', 'xодили', 'идвали', 'в', 'нашата', 'къща']",Не са xодили в нашата къща .,Не са идвали в нашата къща .,,не са идвали в нашата къща
UTT_009002,BOG,2;01.13,BOG,"+"" az sym syncho +...","['az', 'sym', 'syncho', '...']","['az', 'sym', 'syncho', '...']","['az', 'sym', 'syncho', '...']",4,"+"" аз съм сънчо +...","['аз', 'съм', 'сънчо']",""" аз съм сънчо . . .",""" аз съм сънчо . . .",,аз съм сънчо
UTT_034668,SIM,2;07.27,SIM,pak mu svyrshi vodata.,"['pak', 'mu', 'svyrshi', 'vodata', '.']","['pak', 'mu', 'svyrshi', 'vodata', '.']","['pak', 'mu', 'svyrshi', 'vodata']",4,Пак му свърши водата.,"['пак', 'му', 'свърши', 'водата']",Пак му свърши водата .,Пак му свърши водата .,,пак му свърши водата
UTT_026355,SIM,1;09.24,SIM,"uh, trudno, uh, trudno .","['uh', ',', 'trudno', ',', 'uh', ',', 'trudno', '.']","['uh', ',', 'trudno', ',', 'uh', ',', 'trudno', '.']","['uh', 'trudno', 'uh', 'trudno']",4,"Ух, трудно, ух, трудно .","['ух', 'трудно', 'ух', 'трудно']","Ух , трудно , ух , трудно .","Ух , трудно , ух , трудно .","Ух , трудно , ух , трудно .",ух трудно ух трудно
UTT_034167,SIM,2;07.03,SIM,a tvojta ne si ja izcapala.,"['a', 'tvojta', 'ne', 'si', 'ja', 'izcapala', '.']","['a', 'tvojta', 'ne', 'si', 'ja', 'izcapala', '.']","['a', 'tvojta', 'ne', 'si', 'ja', 'izcapala']",6,А твойта не си я изцапала.,"['а', 'твойта', 'не', 'си', 'я', 'изцапала']",А твойта не си я изцапала .,А твойта не си я изцапала .,А твойта не си я изцапала .,а твойта не си я изцапала
UTT_034836,SIM,2;07.29,SIM,ikash [: iskash] li samo katevichki [: krastavichki]?,"['iskash', 'li', 'samo', 'krastavichki', '?']","['iskash', 'li', 'samo', 'krastavichki', '?']","['iskash', 'li', 'samo', 'krastavichki']",4,Икаш [: искаш] ли само катевички [: краставички]?,"['икаш', 'искаш', 'ли', 'само', 'катевички', 'краставички']",Икаш ли само катевички ?,искаш ли само краставички,,искаш ли само краставички
UTT_000638,ALE,1;01.29,ALE,"Chu, chuuk .","['Chu', ',', 'chuuk', '.']","['chu', ',', 'chuuk', '.']","['chu', 'chuuk']",2,"Чу, чуук .","['чу', 'чуук']","Чу , чуук .","Чу , чуук .",,чу чуук
UTT_003937,ALE,1;09.19,ALE,ni dava picheska [: pricheska] paim [: pravim] !,"['ni', 'dava', 'pricheska', 'pravim', '!']","['ni', 'dava', 'pricheska', 'pravim', '!']","['ni', 'dava', 'pricheska', 'pravim']",4,Ни дава пическа [: прическа] паим [: правим] !,"['ни', 'дава', 'пическа', 'прическа', 'паим', 'правим']",Ни дава пическа паим !,Ни дава прическа правим !,,ни дава прическа правим
UTT_032748,SIM,2;06.00,SIM,prasence na gashtite.,"['prasence', 'na', 'gashtite', '.']","['prasence', 'na', 'gashtite', '.']","['prasence', 'na', 'gashtite']",3,Прасенце на гащите.,"['прасенце', 'на', 'гащите']",Прасенце на гащите .,Прасенце на гащите .,,прасенце на гащите
UTT_020457,SIM,1;05.10,SIM,"chila [: ochila], chila [: ochila], chila [: ochila], chila [: ochila] .","['ochila', ',', 'ochila', ',', 'ochila', ',', 'ochila', '.']","['ochila', ',', 'ochila', ',', 'ochila', ',', 'ochila', '.']","['ochila', 'ochila', 'ochila', 'ochila']",4,"Чила [: очила], чила [: очила], чила [: очила], чила [: очила] .","['чила', 'очила', 'чила', 'очила', 'чила', 'очила', 'чила', 'очила']","Чила , чила , чила , чила .",очила очила очила очила .,,очила очила очила очила
UTT_008275,BOG,2;01.12,BOG,kaj-ko-ko +...,"['kaj-ko-ko', '...']","['kaj-ko-ko', '...']","['kaj-ko-ko', '...']",2,Кай-ко-ко +...,['кай-ко-ко'],Кай-ко-ко . . .,Кай-ко-ко . . .,,кай ко ко
UTT_020708,SIM,1;05.16,SIM,"ochi [: oshte], ochi [: oshte], ochi [: oshte] .","['oshte', ',', 'oshte', ',', 'oshte', '.']","['oshte', ',', 'oshte', ',', 'oshte', '.']","['oshte', 'oshte', 'oshte']",3,"Очи [: още], очи [: още], очи [: още] .","['очи', 'още', 'очи', 'още', 'очи', 'още']","Очи , очи , очи .",още още още .,,още още още
UTT_030337,SIM,2;02.15,SIM,ej tam.,"['ej', 'tam', '.']","['ej', 'tam', '.']","['ej', 'tam']",2,Ей там.,"['ей', 'там']",Ей там .,Ей там .,,ей там
UTT_021724,SIM,1;06.19,SIM,"cete [: cvete], cetja [: cvetja], cete [: cvete] .","['cvete', ',', 'cvetja', ',', 'cvete', '.']","['cvete', ',', 'cvetja', ',', 'cvete', '.']","['cvete', 'cvetja', 'cvete']",3,"Цете [: цвете], цетя [: цветя], цете [: цвете] .","['цете', 'цвете', 'цетя', 'цветя', 'цете', 'цвете']","Цете , цетя , цете .",цвете цветя цвете .,,цвете цветя цвете
UTT_009666,BOG,2;03.06,BOG,ikam [: iskam] y [: da] go vidja !,"['iskam', 'da', 'go', 'vidja', '!']","['iskam', 'da', 'go', 'vidja', '!']","['iskam', 'da', 'go', 'vidja']",4,Икам [: искам] ъ [: да] го видя !,"['икам', 'искам', 'ъ', 'да', 'го', 'видя']",Икам ъ го видя !,искам да го видя !,,искам да го видя
UTT_035438,SIM,2;08.29,SIM,kyde sa moite dreshki?,"['kyde', 'sa', 'moite', 'dreshk', '?']","['kyde', 'sa', 'moite', 'dreshk', '?']","['kyde', 'sa', 'moite', 'dreshk']",4,Къде са моите дрешки?,"['къде', 'са', 'моите', 'дрешки']",Къде са моите дрешки ?,Къде са моите дрешки ?,Къде са моите дрешки ?,къде са моите дрешки
UTT_029188,SIM,2;01.05,SIM,"kotence, ela.","['kotence', ',', 'ela', '.']","['kotence', ',', 'ela', '.']","['kotence', 'ela']",2,"Котенце, ела.","['котенце', 'ела']","Котенце , ела .","Котенце , ела .",,котенце ела
UTT_006774,ALE,2;03.12,ALE,da mu narisuvam rycete na Roli .,"['da', 'mu', 'narisuvam', 'rycete', 'na', 'Roli', '.']","['da', 'mu', 'narisuvam', 'rycete', 'na', 'roli', '.']","['da', 'mu', 'narisuvam', 'rycete', 'na', 'roli']",6,Да му нарисувам ръцете на роли .,"['да', 'му', 'нарисувам', 'ръцете', 'на', 'роли']",Да му нарисувам ръцете на роли .,Да му нарисувам ръцете на роли .,,да му нарисувам ръцете на роли
UTT_036859,SIM,2;11.22,SIM,"zashto mislja, che e vytre?","['zashto', 'mislja', ',', 'che', 'e', 'vytr', '?']","['zashto', 'mislja', ',', 'che', 'e', 'vytr', '?']","['zashto', 'mislja', 'che', 'e', 'vytr']",5,"Защо мисля, че е вътре?","['защо', 'мисля', 'че', 'е', 'вътре']","Защо мисля , че е вътре ?","Защо мисля , че е вътре ?",,защо мисля че е вътре
UTT_034094,SIM,2;07.00,SIM,slozhi mu oshte.,"['slozhi', 'mu', 'oshte', '.']","['slozhi', 'mu', 'oshte', '.']","['slozhi', 'mu', 'oshte']",3,Сложи му още.,"['сложи', 'му', 'още']",Сложи му още .,Сложи му още .,,сложи му още
UTT_008661,BOG,2;01.13,BOG,maminka mimi podii [: podari] .,"['maminka', 'mimi', 'podari', '.']","['maminka', 'mimi', 'podari', '.']","['maminka', 'mimi', 'podari']",3,Маминка мими подии [: подари] .,"['маминка', 'мими', 'подии', 'подари']",Маминка мими подии .,Маминка мими подари .,,маминка мими подари
UTT_030485,SIM,2;02.17,SIM,daj mi go.,"['daj', 'mi', 'go', '.']","['daj', 'mi', 'go', '.']","['daj', 'mi', 'go']",3,Дай ми го.,"['дай', 'ми', 'го']",Дай ми го .,Дай ми го .,,дай ми го
UTT_038573,TEF,1;11.04,TEF,Ima gada [: nagrada] .,"['Ima', 'nagrada', '.']","['ima', 'nagrada', '.']","['ima', 'nagrada']",2,Има гада [: награда] .,"['има', 'гада', 'награда']",Има гада .,Има награда .,Има награда .,има награда
UTT_031976,SIM,2;05.21,SIM,a sega pticheto.,"['a', 'sega', 'pticheto', '.']","['a', 'sega', 'pticheto', '.']","['a', 'sega', 'pticheto']",3,А сега птичето.,"['а', 'сега', 'птичето']",А сега птичето .,А сега птичето .,,а сега птичето
UTT_024804,SIM,1;09.02,SIM,"bija, bija .","['bija', ',', 'bija', '.']","['bija', ',', 'bija', '.']","['bija', 'bija']",2,"Бия, бия .","['бия', 'бия']","Бия , бия .","Бия , бия .",,бия бия
UTT_023654,SIM,1;08.07,SIM,"ochi [: oshte], ochi [: oshte] .","['oshte', ',', 'oshte', '.']","['oshte', ',', 'oshte', '.']","['oshte', 'oshte']",2,"Очи [: още], очи [: още] .","['очи', 'още', 'очи', 'още']","Очи , очи .",още още .,,още още
UTT_023754,SIM,1;08.10,SIM,"pyta [: pytja], pyta [: pytja] .","['pytja', ',', 'pytja', '.']","['pytja', ',', 'pytja', '.']","['pytja', 'pytja']",2,"Пъта [: пътя], пъта [: пътя] .","['пъта', 'пътя', 'пъта', 'пътя']","Пъта , пъта .",пътя пътя .,,пътя пътя
UTT_010255,BOG,2;04.11,BOG,pak za jazhko [: ezhko] !,"['pak', 'za', 'ezhko', '!']","['pak', 'za', 'ezhko', '!']","['pak', 'za', 'ezhko']",3,Пак за яжко [: ежко] !,"['пак', 'за', 'яжко', 'ежко']",Пак за яжко !,Пак за ежко !,,пак за ежко
UTT_034703,SIM,2;07.29,SIM,kato nashite.,"['kato', 'nashite', '.']","['kato', 'nashite', '.']","['kato', 'nashite']",2,Като нашите.,"['като', 'нашите']",Като нашите .,Като нашите .,,като нашите
UTT_041669,TEF,2;01.16,TEF,"Tam, tam xxx .","['Tam', ',', 'tam', '.']","['tam', ',', 'tam', '.']","['tam', 'tam']",2,"Там, там xxx .","['там', 'там']","Там , там xxx .","Там , там xxx .",,там там xxx
UTT_005588,ALE,2;00.13,ALE,"da, pi [: pri] djado Sasho she idam [: ida] .","['da', ',', 'pri', 'djado', 'Sasho', 'she', 'ida', '.']","['da', ',', 'pri', 'djado', 'sasho', 'she', 'ida', '.']","['da', 'pri', 'djado', 'sasho', 'she', 'ida']",6,"Да, пи [: при] дядо сашо ше идам [: ида] .","['да', 'пи', 'при', 'дядо', 'сашо', 'ше', 'идам', 'ида']","Да , пи дядо сашо ше идам .","Да , при дядо сашо ше ида .",,да при дядо сашо ше ида
UTT_033730,SIM,2;06.21,SIM,nego ne natiska kopcheto.,"['nego', 'ne', 'natiska', 'kopcheto', '.']","['nego', 'ne', 'natiska', 'kopcheto', '.']","['nego', 'ne', 'natiska', 'kopcheto']",4,Него не натиска копчето.,"['него', 'не', 'натиска', 'копчето']",Него не натиска копчето .,Него не натиска копчето .,,него не натиска копчето
UTT_010013,BOG,2;04.05,BOG,mucunkata +...,"['mucunkata', '...']","['mucunkata', '...']","['mucunkata', '...']",2,Муцунката +...,['муцунката'],Муцунката . . .,Муцунката . . .,,муцунката
UTT_044758,TEF,2;05.25,TEF,"iskam plajam [: opravja] mamunkata [: majmunkata], mamo !","['iskam', 'opravja', 'majmunkata', ',', 'mamo', '!']","['iskam', 'opravja', 'majmunkata', ',', 'mamo', '!']","['iskam', 'opravja', 'majmunkata', 'mamo']",4,"Искам плаям [: оправя] мамунката [: маймунката], мамо !","['искам', 'плаям', 'оправя', 'мамунката', 'маймунката', 'мамо']","Искам плаям мамунката , мамо !",Искам оправя маймунката мамо !,,искам оправя маймунката мамо
UTT_034375,SIM,2;07.19,SIM,"mamo, njama kyde da sedna!","['mamo', ',', 'njama', 'kyde', 'da', 'sedna!']","['mamo', ',', 'njama', 'kyde', 'da', 'sedna!']","['mamo', 'njama', 'kyde', 'da', 'sedna!']",5,"Мамо, няма къде да седна!","['мамо', 'няма', 'къде', 'да', 'седна']","Мамо , няма къде да седна !","Мамо , няма къде да седна !",,мамо няма къде да седна
UTT_033406,SIM,2;06.14,SIM,kolko byrzo!,"['kolko', 'byrzo!']","['kolko', 'byrzo!']","['kolko', 'byrzo!']",2,Колко бързо!,"['колко', 'бързо']",Колко бързо !,Колко бързо !,,колко бързо
