id	lowercased_utterance
books_102792	художникът спокойно спял с ръце зад врата и в съня си продължавал да вижда прекрасните картини които щял да нарисува
books_80212	добре рече котака
books_67149	мокси защо си тъжен
books_99505	лукчо въздъхна
books_104917	попита професорът с усмивка
books_28654	почукало на вратата и влязло вътре
books_34185	десет години съм работил като царски вестоносец казал той и имам хиляда жълтици
books_91221	може би е забравил всичко или още по-лошо може би се е разкаял
books_108072	румцайс почака да стане пладне
UTT_007407	не ечервена водна жаба
books_78643	повикали и коса да помага
books_98834	аз съм адвокат и съм на служба при дон домат
books_28625	отначало те не се съгласили но когато непознатият мъж им дал много злато си помислили
books_57678	той се спъна падна стана отърси се обърна се към двамата до варела но не каза нищо и хлътна между дърветата
books_67423	а мокси си мислеше голям приятел имам велик готов да те измъкне от всяко трудно положение
UTT_019719	на кого звъниш
books_58966	учуди се мокси
books_57368	лиско се прозя
books_32392	ала слугата който чувал всичко доловил думите й
books_93222	след като хапна от хляба на ловис и изпи едно канче мляко майка й тъй я изтърка в кацата че кожата й пламна
UTT_039487	сто кила съм бе бебо
books_71734	питаш ги човешки а те
UTT_030701	малката или голямата бутилка искаш
books_2970	вдигнаха такъв шум че мисис не можа да чуе какво каза бялата котка на понго
books_106336	хайде да играем на морски шах
books_93313	работата изглеждаше сериозна
books_66224	килигарикондите намират всичко
books_49959	пред очите му зашумяха вековните гори на конго
books_20911	понякога на човек му върви отбеляза пипи
books_62400	да ама не съм димби
books_109467	откъде се взехте тук
UTT_015938	защото баба и дядо ще идват
books_54068	страхувам се да не настинеш
books_4638	вървели що вървели наближили до един орач който орял нивата си с два вола
books_35550	ако искаш да вървим заедно
UTT_002698	сашето иска чай
UTT_001576	какво лапа това дете
books_27356	ти изпотроши къщичката ни
books_101334	завършил разказа си дзопино
books_106885	това е добре
UTT_013423	стига си натискала копчетата
UTT_007229	какво правят
books_68797	лисичето заплува към своето
UTT_034010	какво в тринайсет
books_28958	колкото и да я молела майка й не успявала да я накара да се залови за работа
books_75385	ордата се вдигна със страшна врява и отлетя
books_2783	самият понго изпитваше безумно желание да отвори очи и див ужас че лимузината ще се вреже във фургона
books_25820	седмото джудже спало до другарчетата си до всяко по един час и така минала нощта
books_85280	да си дрънкат ще правя каквото си зная
books_91335	ние просто не можем един без друг
books_70832	ама гушни ме
books_12189	ядохме играхме пяхме и се смяхме и по късна вечер в града се прибрахме
UTT_002965	ти ли го обичаш
books_99896	черешко който знаеше за съществуването на тайния проход водещ от гората в зимника им предложи да завладеят неприятелската крепост
books_63018	забеляза димби
books_21228	един вторник сутрин когато малин беше успяла да изпотроши над дузина чаени чаши тя просто си вдигнала партакешите и се отправила към морето
books_12177	гущер гущер бабо
books_83583	ще остане каишката на кучето
UTT_004149	изгони го ти
books_93701	какво ще правим
books_109113	когато циписек малко поотрасна той отиде при румцайс и му каза
books_11108	набързо решихме ние да изпратим вместо моя татко едно съчинение
books_56665	запита чарли
books_16343	и го изпроводиха клетника в затвора
books_20264	пипи седна в скута му и допря оваляното си в сажди личице до неговата буза тъй че той се поочерни
books_102603	пошепнал един от работниците
books_66930	защо го търсим толкова
UTT_015077	а можеш ли да кажеш с думички конче
UTT_028278	какво осем мамо
books_40379	той бе довел със себе си и друг млад елен който им даде топло мляко и ги целуна по устата
books_31355	в същия миг дворецът изчезнал и те отново се намерили в старата колиба
books_51800	как се оставя бележка
UTT_019223	добре тати
books_77171	каква радост тя усеща
books_108087	и поведе анка към разбойническата пещера
books_17970	а освен това за какво ни е
books_18273	кажи ми първо всичките си имена помоли я учителката за да те запиша
UTT_034317	трябва да заредиш
books_28213	тръгнал момъкът с коларя и вечерта стигнали до една страноприемница където решили да пренощуват
books_1583	селяните на които се случвало да прекосяват нощем пустите полета чували писъци и див кикот
UTT_012086	за същото
books_16601	много си мъничък още
books_78230	кирил христов
books_52572	да видим сега какво си казаха устните на двамата герои
books_36568	щом извадела една веднага намазвала раната с лековит мехлем
books_51881	и сега не те разбрах
books_40119	но всичко туй беше само сън и всичко изчезна мигом щом тя отвори очи
UTT_028069	готова ли си да отиваме на разxодка
books_101722	ако не им липсваше това нещо щяха да бъдат шедьоври
books_104220	сигурно и с вас е било така
UTT_029098	не миличка
books_15978	не си прав имаш грешка
UTT_035728	добре пак ще свириш
books_73335	всичко заприлича на естраден фестивал с микрофоните букетите ръкоплясканията
books_23950	този месец ли
UTT_022406	какво има
books_88690	куцата лота също щеше да се вози там макар таткото на емил да я гледаше накриво както се беше закротила в сандъчето си
books_78023	обичам горо обичам
books_75106	те са много недоверчиви и предпазливи защото много са патили от враговете си
books_5360	до неговата ръка сложи десница средният брат а над него най-малкият
UTT_041306	ще мачкаш мачкаш мачкаш
books_95955	нямам ни една резервна гума изпъшка той
books_59467	не мога
books_43156	в нашето ято имаше един страшен колекционер казваше се чику
books_41801	те също не са тукашни и това разбира се ги издига в моите очи
books_47376	донесе чиниите които светеха от чистота защото калинка ги беше измила със сапун
books_83487	прибави той тъй като алиса обърна нетърпеливо поглед към посоката която конника й беше показал
books_65473	така се говори
books_5143	викнал конят
books_49955	пое дъх пи една вода от ручея за да не му се пукне сърцето и легна на тревата
books_47110	хей къде си я намерил
books_89708	емил беше силен като биче и през тази нощ изрина толкова сняг че после никога не го забрави
books_3777	и си заминал
books_106335	попита чебурашка след като всички вече се бяха запознали
books_36983	каза магьосницата
books_98867	донесете ми веднага короната на кавалера на сребърния мустак
books_107566	уважаеми гражданки продължи крокодилът
books_46665	и старецът откъснал две големи узрели дини срязал ги и подал по един резен на гонителите
books_69032	така е призна един от старейшините научихме всички да произнасят речи всеки говори и изчезва а кой ще тика
books_43640	завило се презглава с бяла черга
books_66737	задето втория път ме оставихте цяла нощ вътре
UTT_042531	на туй барби
books_108670	трябва да намериш подходяща тапа и да оправиш езерото
UTT_011420	не пипай там копчето виж таралежчето
books_81414	а откъде знаеш че и тя не е била гладна
UTT_016191	остави я там
books_19491	ала повечето нямаха пари да си купят нещо и горките стояха край витрините и гледаха лакомствата изложени там
books_94554	но котките не изглеждаха да са намислили нещо
books_33024	страшен враг се готви да ви нападне
books_17709	наместо далечината планина съзрях един голям чер облак иде насам
books_62958	понякога се заблуждаваме от хвалбите
books_44395	вземи ги учителю
books_108395	сигурно не е зареден както трябва рече румцайс и насочи пищова към портата с кула за да го презареди
books_44206	талей вървеше по дългия висок мост и стъпките му кънтяха
UTT_040618	xайде да разгледаме картинките на прозорчетата
books_1663	не мога да кажа с точност защото изобщо не се спират на едно място но според мен заедно с вашите са стотина
books_37268	една хубава лакирана черупка от орех стана люлка на палечка сини листца от теменужка бяха нейната постеля а един розов лист бе нейната завивка
books_14451	как ще прекарам слоновете си през моретата
books_27533	но като го извеждали навън той помолил царя за една последна милост
books_31095	аз ще ти дам един железен прът и две питки хляб
books_23409	защо брадата има лице
books_40703	оловният войник се престори че не чува нищо
UTT_005905	утре ще боядисваме с нея
UTT_042439	аз ли да я направя
books_69893	затъжих се за резедавия вир призна си и димби
books_30672	сега се махай оттук а след три дни ще дойдеш пак и ще получиш петстотин
books_19897	искаш ли да легнеш до мен в палатката с подгънати крака обърна се пипи към коня
books_70826	спрял като картинка
books_39497	дръвчето стоеше съвсем настрана него сякаш го бяха забравили
books_10377	след няколко дена аз в париж отивам
books_32442	белоснежка и червенорозка поддържали такава чистота в къщата че било приятно да се надникне вътре
books_96971	сега ще ви напиша бележка че сте инжектирани за да не ви безпокоят по този повод в някой от следващите контролни постове
books_74939	аз нямам определено жилище в блатото понеже прекарвам по-голяма част от времето си във водата
UTT_009023	богомила нарисува едно зайче тука
books_67124	заинтересува се лисичето
books_5548	но щом като си рекъл опитай
books_57132	прошепна магарето
books_75627	оттам виждаше как дивите свини ровеха бреговете как шумно мляскаха и трошеха със зъбите си разни охлюви и корени
books_96452	рудолф наистина клъвна плъха с отровния си зъб но хищникът все още беше силен
books_106690	кое е добре
books_39499	земята е твърда и покрита със сняг затова и хората не могат да ме посадят и да искат и ме държат тук до пролетта
books_69825	не е мой
books_22023	но пипи обеща че често често ще посещават острова
UTT_000466	какво е това бе мамо
books_23963	това яйце в действителност е космически кораб маскиран като великденско яйце а аз неговият капитан маскиран като пиленце
books_98298	беше толкова богата че разноските за лекарства нямаха за нея никакво значение
books_94479	не можеха просто тъй да махнат с ръка пред нещастието на една стара жена
books_31022	е всъщност няма значение как се носи гредата
books_97481	мъхеста брада полуобувка маншон
books_73288	ама той не е лунжин а луч
books_91908	припомни си дните когато беше сама и не й трябваше друго освен гората
books_94845	бащата обаче разбра положението му
books_85379	ще са ви нужни днес за най-невзрачно блюдо
books_51591	старецът го попитал на кого е и откъде е
books_16225	ух де ги намери тези пущини не можа ли друго
books_19737	но тя вече е претърпяла корабокрушение
books_96357	след знаменития изстрел на полуобувка никак не върви да се завърнем без медала
books_22515	тежко ни ако не я намерим преди да се върнат от работа родителите й мърморела бабата уплашена
books_13066	тъкмо по туй време се върна лястовичката
UTT_001421	м-м-м я виж тук
books_5949	а ти кой си
UTT_028619	искаш ли тази
books_46154	олеле удавих се
books_48484	ще намалим дядо иване от цената
books_91040	роня ще му бъде отнета тя ще умре предчувстваше той и сърцето му се свиваше
books_99705	интересен беше и кондукторът
books_48636	първите жетвари режат високата храна със сърпове
books_57787	извика внезапно чими
books_94910	трябва да си бил добър стрелец с уважение каза маншон
UTT_033711	я тиxо
books_105077	прочитаха заглавието десетина реда от съобщението скъсано на най-интересното място гледаха снимката на някоя принцеса която се омъжваше
books_107007	непременно трябва да намерим изход
UTT_005363	я виж това на кого е
books_47737	в хлебарниците имаше четвъртити изпечени пшенични хлябове
UTT_011971	я качи деди на конче
books_10453	слезте долу моля
books_101995	предавам се
books_1865	на късметчето не му се спеше
books_82622	не може да бъде никой друг
UTT_005757	нали ще гледаме за андре филма
UTT_021507	крие се
books_7327	хе там на мегдана оттук недалече за вода ще идеш
UTT_030389	браво тате
books_79809	пред къщата се бяха насъбрали множество малки животни и птици
UTT_033035	ама кака каза да не xодим на плочките
books_11621	нашите уроци излизат чудесно
books_69240	пред очите на малкия пътешественик картините се сменяха
books_19440	да нещо интересно възкликна аника
books_11455	има да се радва баба цоцолана
books_105198	мили деца
books_47960	другари чакайте
books_14646	през нощта когато всички заспаха той влезе в кошарата и прегърна черното агънце с белите крачета
books_38451	ами как живее моят приятел другият оловен войник
books_73929	ами ако бях на твоето място не бих останал на мястото си отговорил
books_39002	морякът пък помисли че бялото що е видял да плава над водата е било морска пяна
books_55632	и аз
books_469	пердита се съгласи с него
books_83065	но не трябваше да го удряш с рога си знаеш
books_16901	той има бълхи
books_82951	мисля че в такива случаи няма нищо по-добро от това да го полеят със студена вода каза алиса или да му дадат валерианови капки
UTT_030358	какво искаш тате
UTT_040871	ще даваш ли на маймунката ореxчета
books_11334	стигнахме я вкъщи
books_90170	но все още не беше срещала никого
books_32356	миг след това магията се развалила и царският син се събудил
books_97663	те се хвърлиха с викове и се сборичкаха при подялбата на плячката
UTT_021390	чакай да те избърша
books_100144	татко колко си остарял
books_44571	абе то колкото за праведното аз ако не съм праведен кой друг ще бъде ами кажи ми ти има ли в рая дебели сенки
books_15327	крали марко спасява три синджира роби
books_16336	нека става каквото ще
books_9762	и на теб ще пратя драги ми смехурко
books_57789	чу ли
UTT_023787	имаш ли
books_107576	е какво мога да ви каша
books_36000	само едно нещо искам от теб да ми дадеш стъкленицата с която лекуваш хората
books_8414	и моята мъка отсега настана
books_99099	лимончетата ли я отнесоха
books_95393	маншон бързо затвори но явно нямаше нужда от това
UTT_015548	има ли
books_35713	а кой сред вас е най-главният
books_83359	но това беше чуден сладкиш измислен от мене
books_33730	те го взели за ловеца който изчезнал в омагьосаната гора
books_39732	попита тя и го целуна по челото
books_1095	няма по-голямо престъпление от това да ухапеш човешко същество
books_101924	когато джелсомино се появил на сцената агентите на домисол дали знак за виковете и освиркването
books_84732	но накрая то се знай
books_91338	а пък матис и бурка да си мислят каквото си щат отсега нататък
books_96084	рудолф все пак кротуваше в джоба на мъхеста брада а плъховете ставаха все по-нагли
books_6030	я да мълчите
books_49164	очите й се напълниха със сълзи
UTT_002370	дядо какво прави тука
UTT_016013	вчера като бяxме на гости в дани каква книжка гледаxме
books_69724	чичо щъркел захленчи жабокът за всичко тогава беше виновно едно лисиче едно омразно и презряно животинче което ненавиждам от дъното на душата си
books_106799	той винаги гледаше да се нагърби с трудните задачи
books_48909	тук ще нощувам но по-напред да поканя вътре моя сърдечен приятел за да не го открадне някой докато спя
books_80056	как мога да вляза
UTT_001880	и какво ще правиш там
books_109388	ами ако ти се отплатя с по-хубава роза
books_16422	какво има
books_40210	навярно тя пътуваше за лапландия защото там винаги има сняг и лед
UTT_008290	точно така
books_33373	в полето вече тече вода
books_31386	изведнъж чул шумолене в храстите и доловил гласове
books_5842	разтворената й уста с жълто езиче засъска и се устреми към единия крак на най-големия
books_10347	скъпи мои гости дванайсет години в таз страна живея но за пръв път днеска тъй сладко се смея
books_39610	накрая им се поиска да хвръкнат на небето и да се подиграят със слънцето
books_7495	но смях гороломен насред пътя спря я
books_4223	рукнали есенните дъждове задухали зимните виелици
books_21814	слез долу с тях и ще купим всичко
books_4437	обкрачило я и викнало
UTT_031498	той ще стане на
books_50887	косата й пламнала изгоряла и дългоносата княгиня заприличала на пърлено прасе
books_173	и мистър де мон беше изплезил език
books_72929	тогава странният човек изсвири на пианото две ноти и четирите лъча започнаха да повтарят
UTT_035924	аз ли мамо
books_94874	от котки са обади се маншон
books_14152	ти си му дясната ръка
books_2102	всичко което ставаше за ядене беше унищожено като по-големите кутрета честно деляха храната с по-малките
books_61740	кипна мокси
books_98845	ще ни съсипят целия парк
books_49878	единият се казваше гудо а другият агудо
books_55037	така е
UTT_025154	песничка за тати
books_31993	ти успя да вземеш девойката казала тя но само златният кон подхожда на такава красавица
books_34022	ако ме пощадиш един ден ще ти се отплатя за това
books_3691	изгорих ги отвърнал спокойно хитър петър
books_41295	пръстите насочиха иглата към пантофа на готвачката
books_103167	казал джакомоне
books_56711	когато ви питах мълчахте и настоявахте а сега ревете
books_44801	седна мирно на своя чин
books_98148	от страх да не попадне в затвора
books_76753	пълна къща със коприна
books_94877	струва ми се че са оставени от цяла котешка орда
books_51158	че защо пък трябва да ходиш на небето
books_77306	ала нося
UTT_004753	да му изде всичките яйчица
books_60892	ще почакаме и ще дойде
books_95117	махна с ръка полуобувка
books_33551	попитал ловецът
UTT_038300	кой я излапа
books_53005	да ти прочета ли
books_85858	веднъж пред лъв един
books_110216	по-добре си съблечи ризата румцайс
books_56317	кой си ти
books_24468	и ако някой път ти се прияде хубаво печено месо каквото яде в къщата на разбойниците ела спокойно в дворцовата кухня
UTT_022071	къде се слага този бански
books_63490	предложи домби
books_54438	не можем ли да направим нещо
books_8034	поздрав най-сърдечен
books_9966	бликнаха из джоба желтъци белтъци
books_23349	тук съм татко
UTT_004811	алиса ли искаш да ти пусна
books_31863	цяла нощ царицата си припомняла всички имена които била чувала
books_13503	обади се нунчо
books_25555	едноочка двуочка и триочка
books_75625	почакайте само да отминат дивите свини
books_91498	заповяда тя
books_92981	видяха ги както си седяха край огъня в едно ранно утро но не си казаха нищо
books_84464	добре съм кипна вторият видях я няма блъф
books_77085	и на всички и на всички
books_85017	е как нищо
UTT_001345	книжката искаш
books_47531	автомобилът сякаш се откъсна от земята и литна като стрела
books_77543	бог исус възкръсна днес
books_95201	както сенчестите гъсталаци тъй и прекрасните поляни с цветя са превзети от яростна банда котараци разбойници
books_65496	като вървях по пътечката всички животни се разговаряха че напоследък в горския дом се появявало някакво привидение
books_53627	гърбът на акулата беше по-широк и далеч по-разкошен от малкото гръбче на делфинчето
UTT_011657	ели ели не отваряй
books_30607	ей глупави твари
UTT_017098	тук бубата свири
books_28077	искам да ми построиш къщичка
books_106531	но един ден някой й донесъл ново кученце
books_82017	но сега си зная поне името каза тя
books_102530	съжалявам много казал му старецът като въздишал съжалявам много че трябва да умра без да изиграя една хубава игра на карти
books_43050	нали трябва да преследваме и да хващаме всичко дето се движи и бяга пред нас
books_51331	животните почнали да се тревожат
books_3059	тичай след нея бързо
books_95411	алеите бяха старателно изравнени столовете и масичката в градината изглеждаха чудесно боядисани съвсем наскоро с червена блажна боя
books_87408	охохох какво нещастие
books_102568	това ще ти бъде трудно
books_31605	никого няма да питаме
books_68015	да помисли си димби
books_95872	мъхеста брада не обърна внимание на лошото им настроение и отново настоя
UTT_012243	после ще ви пусна децките песнички
UTT_040821	те са стари
books_23316	така тонино разбрал че е станал невидим както си бил пожелал
books_12867	защо не ми обади че падат
UTT_031641	стига толкова дупки
books_79878	това звучеше вее пак по-иначе
books_92565	за тях вече нямаше нищо по-хубаво от това да препускат в надпревара всеки със своя ездач на гърба
books_97229	листата на моя остров отново ще се раззеленят
books_28882	после намерих в ъгъла захвърлена овнешка кожа
books_38553	твоите желания са и мои
UTT_034934	може да се е напишкал
books_37577	извика царкинята и си тръгна
books_33268	този път ще те вържа още по-здраво та никой да не може да те отвърже
books_37724	но де са се загубили тия файтони
books_8148	минахме реката
books_47293	дядо иван беше хилядогодишен старец
books_67931	ами хайде
books_20614	най-важното за малките деца е да знаят ред
books_66991	ягодите ни се изплъзнаха
books_95927	не карай много близо посъветва го мъхеста брада
books_41315	погрижете се да ви порасне по-голяма защото не е дадено всекиму да има глава от восък
books_50366	не мина много време ето че гората запращя
books_890	разбра че е време да каже истината на жена си
books_96621	иначе дарението ни ще се окаже непълно
books_15056	заварили сватбарите на крак
books_14363	пред очите му се мярнаха високите стени на константинопол и осипаната с безценни камъни ромейска царска корона
books_74151	но лили забелязала че хрили започнал да се задъхва
books_5521	под ябълката като видение преминаха безшумно кошутата и сърненцето й
books_35948	съгласен съм рекъл франц но само ако напишеш на царски пергамент че след смъртта ти ще те наследя
books_70328	дойдохме да те помолим казало бързо лисичето като въртяло опашката си
books_59954	поиска да знае домби
UTT_037401	това е на леля не го пипай
UTT_035059	не миличко утре
books_67687	сега оставаше да я покачи горе и готово
UTT_044626	ноктите ли ми режеш сега
books_20580	пипи стисна здраво ръката на томи а после изтича по мостика
books_98445	домат потри ръце и си помисли
UTT_039384	вземи си го сама
books_40577	те винаги казваха ние и целият свят
books_26524	сега можем да се наядем до насита
books_5023	иванчо и царската дъщеря заспали а побратимът лежал гледал към тавана и слухтял
books_76794	какво ли няма там
books_89590	емил духна върху замръзналия прозорец да си направи дупка за гледане и надзърна навън
books_79833	каза си алиса като се облегна на едно лютиче и почна да си вее с едно листо
books_8173	две кошници пълни коприва набрахме
books_13881	колко си тънка и висока елхице
books_12728	да пеят песнопойците
UTT_042325	ето го кльуча ми кой го направи
books_36705	седем години ще летя с гълъбите и ще бъдем далеч един от друг
books_14297	туй звънче го намерих лятос в гората
books_56722	защо аз да съм лош когато ти се караше с него
books_1369	една от двете предни умно отговори мисис а понго и шпаньолът се засмяха както само мъжете умеят
books_100390	да тръгваме
books_3089	за щастие вкусът на крема много допадна на пердита
UTT_008173	какво носи
books_77763	във всенародната любов
books_107762	кметът хумпал почервеня като кордовската кожа после побеля като ивицата на метъра после пак почервеня и пак побеля
books_51108	щом притихнали стъпките им патето излязло от кринчето разтворило крилата си плеснало три пъти и гракнало четири пъти
books_99732	двамата детективи се поразтъпкаха и потеглиха бързо за да продължат издирванията си
books_59829	домби който бе привърженик на друга тактика за отърваване от подобни насекоми започна да скача и от отбрана мина в нападение
books_59286	а не
books_47426	моторът забуча колелетата се завъртяха тръбата свирна автомобилът се търкулна леко безшумно
books_21232	и не пропускаше да каже колко съжалява за тази неповторима прислужница
books_185	може би затова обича все да й е горещо
books_60238	тя живее в другия край на гората и ще се зарадва много
books_25852	почукала на вратата и извикала
books_9267	сред двора на маса бе поседнал кметът
books_77895	старата година
UTT_019775	вече не е мокро
books_15514	имам булче по-хубаво от звезда
books_8749	бате патилане
UTT_000355	за патето ли ще пееш
books_32584	по пътя го срещнала една старица и го попитала къде отива
books_76524	отвори очи и видя повлекана
books_36898	ще го гледаме като наше дете
books_31946	дълго вървял царският син и накрая стигнал до двореца
books_2316	единственият друг изход от нивите е през пролуката в оградата
books_40722	след такъв проливен дъжд потокът разбира се беше буен
books_73266	всички се заковаха по местата си
UTT_039159	течето ще вземе бебето
books_17315	налегна го мъка
UTT_038311	от какво наготви манджичката
books_52975	нещо тревожно ли
books_108466	ако беше гражданин като всички щеше да си купиш рече манка
books_68045	това е лудо приключение безопасно но шашаво всеки може да мине и да ни се присмее
books_65974	краката на мокси зачаткаха по цимента
books_14268	не слагай никога змия в пазвата си
books_4513	вестта за нейната хубост стигнала до ушите и на стария цар
UTT_015067	ей красотицо
books_13620	обади се един от разбойниците
books_10832	аз хинин ще давам а друг ще го гълта
UTT_022210	да на льулката
books_94114	вдигна се страшна врява
books_98943	стражите се появиха но сред тях вместо палача влезе дон домат овързан като салам
books_9635	бате патилане ах какво направи
books_47352	майката влезе цялата напрашена от новогодишния сняг
UTT_031603	не маме
UTT_041003	какво ще вземем
books_66342	зад гърба ви
books_68834	той ни смята за едно нищо
