POS	WORD	SEGMENTED
ADJ	благодарният	благодарна+ят
ADJ	благодарствен	благодарствен
ADJ	благодатен	благодатен
ADJ	благодатна	благодатна
ADJ	благодатни	благодатни
ADJ	благодатно	благодатно
ADJ	благополучно	благополучно
ADJ	благополучното	благополучното
ADJ	благоразумният	благоразумно+ят
ADJ	благоразумно	благоразумно
ADJ	благороден	благороден
ADJ	благородна	благородна
ADJ	благородни	благородни
ADJ	благородните	благородна+те
ADJ	благородния	благородни+я
ADJ	благородният	благородна+ят
ADJ	благородно	благородно
ADJ	благородното	благородното
ADJ	благосклонни	благосклонни
ADJ	благословен	благословен
ADJ	благословена	благословен+а
ADJ	благотворителна	благотворителна
ADJ	благотворителни	благотворителни
ADJ	благоуханна	благоуханна
ADJ	благоуханни	благоуханни
ADJ	благоуханните	благоуханна+те
ADJ	блажен	блажен
ADJ	блажена	блажен+а
ADJ	блажената	блажената
ADJ	блажения	блажения
ADJ	блажено	блажен+о
ADJ	блажна	блажна
ADJ	блатна	блатна
ADJ	блатната	блатната
ADJ	блатните	блатна+те
ADJ	блед	блед
ADJ	бледа	блед+а
ADJ	бледата	бледата
ADJ	бледен	бледен
ADJ	бледи	блед+и
ADJ	бледни	бледни
ADJ	бледните	бледни+те
ADJ	бледното	бледното
ADJ	бледо	блед+о
ADJ	бледозеленикави	бледозеленикави
ADJ	бледозелено	бледозелено
ADJ	бледолик	бледолик
ADJ	бледорозовите	бледорозовите
ADJ	бледото	бледото
ADJ	блеснали	блеснали
ADJ	блестящ	блестящ
ADJ	блестяща	блестящ+а
ADJ	блестящата	блестящата
ADJ	блестящи	блестящ+и
ADJ	блестящите	блестящи+те
ADJ	блестящо	блестящ+о
ADJ	ближен	ближен
ADJ	ближещи	ближещи
ADJ	ближни	ближни
ADJ	ближните	ближни+те
ADJ	ближния	ближни+я
ADJ	близка	близка
ADJ	близката	близката
ADJ	близки	близки
ADJ	близките	близка+те
ADJ	близкия	близки+я
ADJ	близкият	близка+ят
ADJ	близко	близко
ADJ	близкото	близкото
ADJ	близни	близни
ADJ	близък	близък
ADJ	бликналата	бликналата
ADJ	бликнали	бликнали
ADJ	блиндираните	блиндираните
ADJ	блуждаещ	блуждаещ
ADJ	блуждаещи	блуждаещ+и
ADJ	блуждаещите	блуждаещи+те
ADJ	блюдо	блюдо
ADJ	бляскав	бляскав
ADJ	бляскава	бляскав+а
ADJ	бляскави	бляскав+и
ADJ	бляскаво	бляскав+о
ADJ	бобена	бобена
ADJ	бобено	бобено
ADJ	боботещия	боботещия
ADJ	богат	богат
ADJ	богата	богат+а
ADJ	богатата	богатата
ADJ	богаташи	богаташи
ADJ	богаташките	богаташките
ADJ	богати	богат+и
ADJ	богатирските	богатирските
ADJ	богатите	богати+те
ADJ	богатия	богати+я
ADJ	богатият	богати+ят
ADJ	богато	богат+о
ADJ	богатска	богатска
ADJ	богатската	богатската
ADJ	богатските	богатска+те
ADJ	богомолна	богомолна
ADJ	бодлива	бодлива
ADJ	бодливи	бодливи
ADJ	бодливите	бодлива+те
ADJ	бодливия	бодливи+я
ADJ	бодливо	бодливо
ADJ	бодливото	бодливото
ADJ	бодна	бодна
ADJ	боднато	боднато
ADJ	бодра	бодра
ADJ	бодри	бодри
ADJ	бодрият	бодра+ят
ADJ	бодро	бодро
ADJ	бодър	бодър
ADJ	боеви	боеви
ADJ	боен	боен
ADJ	божа	божа
ADJ	боже	боже
ADJ	божествен	божествен
ADJ	божествено	божествен+о
ADJ	божи	божи
ADJ	божиловата	божиловата
ADJ	божилови	божилови
ADJ	божилово	божилово
ADJ	божите	божа+те
ADJ	божичко	божичко
ADJ	божия	божи+я
ADJ	божият	божа+ят
ADJ	божията	божият+а
ADJ	бойната	бойната
ADJ	бойни	бойни
ADJ	бойните	бойни+те
ADJ	бойния	бойни+я
ADJ	бойното	бойното
ADJ	болен	болен
ADJ	болна	болна
ADJ	болнаво	болнаво
ADJ	болната	болната
ADJ	болни	болни
ADJ	болните	болна+те
ADJ	болния	болни+я
ADJ	болно	болно
ADJ	болното	болното
ADJ	болярски	болярски
ADJ	болярските	болярски+те
ADJ	бонбонен	бонбонен
ADJ	бонбонена	бонбонен+а
ADJ	боричкащи	боричкащи
ADJ	борнхолмско	борнхолмско
ADJ	боров	боров
ADJ	борова	боров+а
ADJ	боровата	боровата
ADJ	борови	боров+и
ADJ	боровите	борови+те
ADJ	боси	боси
ADJ	босия	боси+я
ADJ	босо	босо
ADJ	босото	босото
ADJ	бостанско	бостанско
ADJ	бостанското	бостанското
ADJ	боядисан	боядисан
ADJ	боядисана	боядисан+а
ADJ	боядисани	боядисан+и
ADJ	боядисано	боядисан+о
ADJ	боязлив	боязлив
ADJ	боязливо	боязлив+о
ADJ	брависимо	брависимо
ADJ	браво	браво
ADJ	брадат	брадат
ADJ	брадати	брадат+и
ADJ	брадатия	брадати+я
ADJ	брадатият	брадати+ят
ADJ	брадатото	брадатото
ADJ	брадва	брадва
ADJ	брадясала	брадясала
ADJ	бракувана	бракувана
ADJ	братко	братко
ADJ	братовото	братовото
ADJ	братски	братски
ADJ	брауншвайгска	брауншвайгска
ADJ	брезентова	брезентова
ADJ	брезна	брезна
ADJ	брезната	брезната
ADJ	брезовата	брезовата
ADJ	брезови	брезови
ADJ	брезовия	брезови+я
ADJ	бременска	бременска
ADJ	бременски	бременски
ADJ	бременските	бременска+те
ADJ	бременско	бременско
ADJ	брилянтно	брилянтно
ADJ	брилянтов	брилянтов
ADJ	бродещият	бродещият
ADJ	бродираните	бродираните
ADJ	бронзов	бронзов
ADJ	бронзова	бронзов+а
ADJ	бронзовата	бронзовата
ADJ	бронзовите	бронзов+ите
ADJ	бронзовият	бронзов+ият
ADJ	бронирани	бронирани
ADJ	брулна	брулна
ADJ	бръмбарова	бръмбарова
ADJ	бръснарски	бръснарски
ADJ	бръснарския	бръснарски+я
ADJ	бръсната	бръсната
ADJ	бу	бу
ADJ	буден	буден
ADJ	будна	будна
ADJ	будни	будни
ADJ	будните	будна+те
ADJ	будно	будно
ADJ	будното	будното
ADJ	буен	буен
ADJ	буйна	буйна
ADJ	буйнали	буйнали
ADJ	буйната	буйната
ADJ	буйни	буйни
ADJ	буйните	буйна+те
ADJ	буйния	буйни+я
ADJ	буйният	буйна+ят
ADJ	буйното	буйното
ADJ	буков	буков
ADJ	букова	буков+а
ADJ	буковата	буковата
ADJ	букови	буков+и
ADJ	буковите	букови+те
ADJ	буковият	букови+ят
ADJ	буково	буков+о
ADJ	булгурен	булгурен
ADJ	буратино	буратино
ADJ	бурен	бурен
ADJ	бурени	бурен+и
ADJ	бурените	бурени+те
ADJ	буреносен	буреносен
ADJ	буреносни	буреносни
ADJ	бурков	бурков
ADJ	бурковата	бурковата
ADJ	буркови	бурков+и
ADJ	бурковия	буркови+я
ADJ	бурковият	буркови+ят
ADJ	бурковото	бурковото
ADJ	бурни	бурни
ADJ	бурните	бурни+те
ADJ	бурно	бурно
ADJ	бурното	бурното
ADJ	бучащи	бучащи
ADJ	бъбривите	бъбривите
ADJ	бъдещ	бъдещ
ADJ	бъдещи	бъдещ+и
ADJ	бъдещите	бъдещи+те
ADJ	бъдещо	бъдещ+о
ADJ	бъдни	бъдни
ADJ	бъднина	бъднина
ADJ	бъдния	бъдни+я
ADJ	бъзови	бъзови
ADJ	бъзовият	бъзови+ят
ADJ	бълбукащ	бълбукащ
ADJ	бълващия	бълващия
ADJ	българска	българска
ADJ	българската	българската
ADJ	български	български
ADJ	българските	българска+те
ADJ	българския	български+я
ADJ	българският	българска+ят
ADJ	българско	българско
ADJ	българското	българското
ADJ	бърборко	бърборко
ADJ	бърз	бърз
ADJ	бърза	бърз+а
ADJ	бързата	бързата
ADJ	бързи	бърз+и
ADJ	бързите	бързи+те
ADJ	бързия	бързи+я
ADJ	бързият	бързи+ят
ADJ	бързо	бърз+о
ADJ	бързоноги	бързоноги
ADJ	бързоногият	бързоноги+ят
ADJ	бързоструйната	бързоструйната
ADJ	бързотечно	бързотечно
ADJ	бързоходко	бързоходко
ADJ	бъчва	бъчва
ADJ	бъчвата	бъчвата
ADJ	бъчви	бъчви
ADJ	бягащи	бягащи
ADJ	бягащите	бягащи+те
ADJ	бягащият	бягащи+ят
ADJ	бял	бял
ADJ	бяла	бял+а
ADJ	бялата	бялата
ADJ	бяло	бял+о
ADJ	бялото	бялото
ADJ	бясна	бясна
ADJ	бясно	бясно
ADJ	вавилонски	вавилонски
ADJ	вавилонския	вавилонски+я
ADJ	ваджишки	ваджишки
ADJ	важен	важен
ADJ	важна	важна
ADJ	важната	важната
ADJ	важни	важни
ADJ	важните	важна+те
ADJ	важно	важно
ADJ	важното	важното
ADJ	вале	вале
ADJ	валерианови	валерианови
ADJ	валерианово	валерианово
ADJ	валчеста	валчеста
ADJ	ваньовата	ваньовата
ADJ	ваньовият	ваньовият
ADJ	варена	варена
ADJ	варени	варени
ADJ	варено	варено
ADJ	ваший	ваший
ADJ	вбесена	вбесена
ADJ	вдиганата	вдиганата
ADJ	вдигната	вдигната
ADJ	вдигнатата	вдигнатата
ADJ	вдигнати	вдигнати
ADJ	вдълбани	вдълбани
ADJ	вдървена	вдървена
ADJ	вегетариански	вегетариански
ADJ	ведра	ведра
ADJ	ведри	ведри
ADJ	ведро	ведро
ADJ	ведрото	ведрото
ADJ	вежлив	вежлив
ADJ	вежливият	вежлив+ият
ADJ	вековен	вековен
ADJ	вековна	вековна
ADJ	вековната	вековната
ADJ	вековни	вековни
ADJ	вековните	вековна+те
ADJ	вековния	вековни+я
ADJ	вековното	вековното
ADJ	велик	велик
ADJ	велика	велик+а
ADJ	великан	великан
ADJ	великански	великански
ADJ	великанския	великански+я
ADJ	великата	великата
ADJ	великденска	великденска
ADJ	великденската	великденската
ADJ	великденски	великденски
ADJ	великденско	великденско
ADJ	велики	велик+и
ADJ	великите	велики+те
ADJ	великия	велики+я
ADJ	великият	велики+ят
ADJ	велико	велик+о
ADJ	великодушен	великодушен
ADJ	великодушният	великодушният
ADJ	великолепен	великолепен
ADJ	великолепна	великолепна
ADJ	великолепната	великолепната
ADJ	великолепни	великолепни
ADJ	великолепните	великолепна+те
ADJ	великолепния	великолепни+я
ADJ	великолепният	великолепна+ят
ADJ	великолепно	великолепно
ADJ	великолепното	великолепното
ADJ	великото	великото
ADJ	величава	величава
ADJ	величествен	величествен
ADJ	величествена	величествен+а
ADJ	величествените	величествен+ите
ADJ	величественият	величествен+ият
ADJ	велкова	велкова
ADJ	велковата	велковата
ADJ	венковната	венковната
ADJ	венчална	венчална
ADJ	венчалната	венчалната
ADJ	венчалния	венчалния
ADJ	верен	верен
ADJ	верни	верни
ADJ	верните	верни+те
ADJ	верния	верни+я
ADJ	верният	верни+ят
ADJ	вероломна	вероломна
ADJ	вертикална	вертикална
ADJ	весел	весел
ADJ	весела	весел+а
ADJ	веселата	веселата
ADJ	весели	весел+и
ADJ	веселили	веселили
ADJ	веселите	весели+те
ADJ	веселия	весели+я
ADJ	веселият	весели+ят
ADJ	весело	весел+о
ADJ	веселото	веселото
ADJ	ветеринарен	ветеринарен
ADJ	ветровито	ветровито
ADJ	вехта	вехта
ADJ	вехтата	вехтата
ADJ	вехти	вехти
ADJ	вехтият	вехта+ят
ADJ	вечен	вечен
ADJ	вечерен	вечерен
ADJ	вечерна	вечерна
ADJ	вечерната	вечерната
ADJ	вечерни	вечерни
ADJ	вечерния	вечерни+я
ADJ	вечерният	вечерна+ят
ADJ	вечерно	вечерно
ADJ	вечерното	вечерното
ADJ	вечна	вечна
ADJ	вечната	вечната
ADJ	вечни	вечни
ADJ	вечните	вечна+те
ADJ	вечният	вечна+ят
ADJ	вечно	вечно
ADJ	вечното	вечното
ADJ	взаимни	взаимни
ADJ	взаимните	взаимни+те
ADJ	взаимно	взаимно
ADJ	вземам	вземам
ADJ	вземеш	вземеш
ADJ	взети	взети
ADJ	взето	взето
ADJ	видело	видело
ADJ	виделото	виделото
ADJ	виден	виден
ADJ	видима	видима
ADJ	видно	видно
ADJ	видяното	видяното
ADJ	визитна	визитна
ADJ	визитната	визитната
ADJ	викингски	викингски
ADJ	винена	винена
ADJ	винената	винената
ADJ	винените	винена+те
ADJ	виновато	виновато
ADJ	виновен	виновен
ADJ	виновна	виновна
ADJ	виновни	виновни
ADJ	виновният	виновна+ят
ADJ	виновно	виновно
ADJ	виолетов	виолетов
ADJ	виолетова	виолетов+а
ADJ	виолетови	виолетов+и
ADJ	виолетовия	виолетови+я
ADJ	виолетово	виолетов+о
ADJ	виолончелистката	виолончелистката
ADJ	вирна	вирна
ADJ	вирнат	вирнат
ADJ	вирната	вирнат+а
ADJ	вирнати	вирнат+и
ADJ	вирнатите	вирнати+те
ADJ	вирнатият	вирнати+ят
ADJ	вироглава	вироглава
ADJ	вироглави	вироглави
ADJ	вироглавите	вироглава+те
ADJ	висна	висна
ADJ	висок	висок
ADJ	висока	висок+а
ADJ	високата	високата
ADJ	високи	висок+и
ADJ	високите	високи+те
ADJ	високия	високи+я
ADJ	високият	високи+ят
ADJ	високо	висок+о
ADJ	високомерна	високомерна
ADJ	високомерни	високомерни
ADJ	високопоставените	високопоставените
ADJ	високославни	високославни
ADJ	високото	високото
ADJ	висше	висше
ADJ	висшият	висше+ят
ADJ	висяща	висяща
ADJ	висящи	висящи
ADJ	висящия	висящи+я
ADJ	висящо	висящо
ADJ	висящото	висящото
ADJ	вита	вита
ADJ	витата	витата
ADJ	витиеват	витиеват
ADJ	витска	витска
ADJ	витското	витското
ADJ	вихрено	вихрено
ADJ	вихреното	вихреното
ADJ	вишнева	вишнева
ADJ	вишневи	вишневи
ADJ	вишните	вишните
ADJ	вишнови	вишнови
ADJ	вишното	вишното
ADJ	вкаменени	вкаменени
ADJ	вкаменените	вкаменени+те
ADJ	включена	включена
ADJ	вкопчен	вкопчен
ADJ	вкопчена	вкопчен+а
ADJ	вкопчени	вкопчен+и
ADJ	вкусен	вкусен
ADJ	вкусна	вкусна
ADJ	вкусната	вкусната
ADJ	вкусни	вкусни
ADJ	вкусните	вкусна+те
ADJ	вкусничко	вкусничко
ADJ	вкусния	вкусни+я
ADJ	вкусно	вкусно
ADJ	владетелския	владетелския
ADJ	владишката	владишката
ADJ	влажен	влажен
ADJ	влажна	влажна
ADJ	влажната	влажната
ADJ	влажни	влажни
ADJ	влажните	влажна+те
ADJ	влажния	влажни+я
ADJ	влажният	влажна+ят
ADJ	влажно	влажно
ADJ	влажното	влажното
ADJ	властен	властен
ADJ	властна	властна
ADJ	влашката	влашката
ADJ	вледеняващ	вледеняващ
ADJ	влезли	влезли
